TNATURE;IENTITY;IBP;IVERSION;ISTRAT;ISCEN;CTP;MVAL
RENTS;20;1;1;1;1;1;100
CHARGES;20;1;1;1;1;1;-20
WORKS;20;1;1;1;1;1;-20
AMTZ;20;1;1;1;1;1;-20
TAX_RATE;20;1;1;1;1;1;0,33
DIVID_REQ;20;1;1;1;1;1;1000
IDX_RENT;20;1;1;1;1;1;0,02
IDX_CHG;20;1;1;1;1;1;0,025
RENTS;21;1;1;1;1;1;100
CHARGES;21;1;1;1;1;1;-20
WORKS;21;1;1;1;1;1;-20
AMTZ;21;1;1;1;1;1;-20
TAX_RATE;21;1;1;1;1;1;0,33
DIVID_REQ;21;1;1;1;1;1;1000
IDX_RENT;21;1;1;1;1;1;0,02
IDX_CHG;21;1;1;1;1;1;0,025
RENTS;22;1;1;1;1;1;100
CHARGES;22;1;1;1;1;1;-20
WORKS;22;1;1;1;1;1;-20
AMTZ;22;1;1;1;1;1;-20
TAX_RATE;22;1;1;1;1;1;0,33
IDX_RENT;22;1;1;1;1;1;0,02
IDX_CHG;22;1;1;1;1;1;0,025
RENTS;23;1;1;1;1;1;100
CHARGES;23;1;1;1;1;1;-20
WORKS;23;1;1;1;1;1;-20
AMTZ;23;1;1;1;1;1;-20
TAX_RATE;23;1;1;1;1;1;0,33
DIVID_REQ;23;1;1;1;1;1;1000
IDX_RENT;23;1;1;1;1;1;0,02
IDX_CHG;23;1;1;1;1;1;0,025
RENTS;1;1;1;1;1;2;100
CHARGES;1;1;1;1;1;2;-20
WORKS;1;1;1;1;1;2;-20
AMTZ;1;1;1;1;1;2;-20
RENTS;2;1;1;1;1;2;100
CHARGES;2;1;1;1;1;2;-20
WORKS;2;1;1;1;1;2;-20
AMTZ;2;1;1;1;1;2;-20
RENTS;3;1;1;1;1;2;100
CHARGES;3;1;1;1;1;2;-20
WORKS;3;1;1;1;1;2;-20
AMTZ;3;1;1;1;1;2;-20
RENTS;4;1;1;1;1;2;100
CHARGES;4;1;1;1;1;2;-20
WORKS;4;1;1;1;1;2;-20
AMTZ;4;1;1;1;1;2;-20
RENTS;5;1;1;1;1;2;100
CHARGES;5;1;1;1;1;2;-20
WORKS;5;1;1;1;1;2;-20
AMTZ;5;1;1;1;1;2;-20
RENTS;6;1;1;1;1;2;100
CHARGES;6;1;1;1;1;2;-20
WORKS;6;1;1;1;1;2;-20
AMTZ;6;1;1;1;1;2;-20
RENTS;7;1;1;1;1;2;100
CHARGES;7;1;1;1;1;2;-20
WORKS;7;1;1;1;1;2;-20
AMTZ;7;1;1;1;1;2;-20
DIVID_REQ;7;1;1;1;1;2;1000
RENTS;8;1;1;1;1;2;100
CHARGES;8;1;1;1;1;2;-20
WORKS;8;1;1;1;1;2;-20
AMTZ;8;1;1;1;1;2;-20
DIVID_REQ;8;1;1;1;1;2;1000
RENTS;9;1;1;1;1;2;100
CHARGES;9;1;1;1;1;2;-20
WORKS;9;1;1;1;1;2;-20
AMTZ;9;1;1;1;1;2;-20
DIVID_REQ;9;1;1;1;1;2;1000
RENTS;10;1;1;1;1;2;100
CHARGES;10;1;1;1;1;2;-20
WORKS;10;1;1;1;1;2;-20
AMTZ;10;1;1;1;1;2;-20
DIVID_REQ;10;1;1;1;1;2;1000
RENTS;11;1;1;1;1;2;100
CHARGES;11;1;1;1;1;2;-20
WORKS;11;1;1;1;1;2;-20
AMTZ;11;1;1;1;1;2;-20
DIVID_REQ;11;1;1;1;1;2;1000
RENTS;12;1;1;1;1;2;100
CHARGES;12;1;1;1;1;2;-20
WORKS;12;1;1;1;1;2;-20
AMTZ;12;1;1;1;1;2;-20
RENTS;13;1;1;1;1;2;100
CHARGES;13;1;1;1;1;2;-20
WORKS;13;1;1;1;1;2;-20
AMTZ;13;1;1;1;1;2;-20
RENTS;14;1;1;1;1;2;100
CHARGES;14;1;1;1;1;2;-20
WORKS;14;1;1;1;1;2;-20
AMTZ;14;1;1;1;1;2;-20
DIVID_REQ;14;1;1;1;1;2;1000
RENTS;15;1;1;1;1;2;100
CHARGES;15;1;1;1;1;2;-20
WORKS;15;1;1;1;1;2;-20
AMTZ;15;1;1;1;1;2;-20
DIVID_REQ;15;1;1;1;1;2;1000
RENTS;16;1;1;1;1;2;100
CHARGES;16;1;1;1;1;2;-20
WORKS;16;1;1;1;1;2;-20
AMTZ;16;1;1;1;1;2;-20
DIVID_REQ;16;1;1;1;1;2;1000
RENTS;17;1;1;1;1;2;100
CHARGES;17;1;1;1;1;2;-20
WORKS;17;1;1;1;1;2;-20
AMTZ;17;1;1;1;1;2;-20
DIVID_REQ;17;1;1;1;1;2;1000
RENTS;18;1;1;1;1;2;100
CHARGES;18;1;1;1;1;2;-20
WORKS;18;1;1;1;1;2;-20
AMTZ;18;1;1;1;1;2;-20
DIVID_REQ;18;1;1;1;1;2;1000
RENTS;19;1;1;1;1;2;100
CHARGES;19;1;1;1;1;2;-20
WORKS;19;1;1;1;1;2;-20
AMTZ;19;1;1;1;1;2;-20
RENTS;20;1;1;1;1;2;100
CHARGES;20;1;1;1;1;2;-20
WORKS;20;1;1;1;1;2;-20
AMTZ;20;1;1;1;1;2;-20
DIVID_REQ;20;1;1;1;1;2;1000
RENTS;21;1;1;1;1;2;100
CHARGES;21;1;1;1;1;2;-20
WORKS;21;1;1;1;1;2;-20
AMTZ;21;1;1;1;1;2;-20
DIVID_REQ;21;1;1;1;1;2;1000
RENTS;22;1;1;1;1;2;100
CHARGES;22;1;1;1;1;2;-20
WORKS;22;1;1;1;1;2;-20
AMTZ;22;1;1;1;1;2;-20
RENTS;23;1;1;1;1;2;100
CHARGES;23;1;1;1;1;2;-20
WORKS;23;1;1;1;1;2;-20
AMTZ;23;1;1;1;1;2;-20
DIVID_REQ;23;1;1;1;1;2;1000
RENTS;1;1;1;1;1;3;100
CHARGES;1;1;1;1;1;3;-20
WORKS;1;1;1;1;1;3;-20
AMTZ;1;1;1;1;1;3;-20
RENTS;2;1;1;1;1;3;100
CHARGES;2;1;1;1;1;3;-20
WORKS;2;1;1;1;1;3;-20
AMTZ;2;1;1;1;1;3;-20
RENTS;3;1;1;1;1;3;100
CHARGES;3;1;1;1;1;3;-20
WORKS;3;1;1;1;1;3;-20
AMTZ;3;1;1;1;1;3;-20
RENTS;4;1;1;1;1;3;100
CHARGES;4;1;1;1;1;3;-20
WORKS;4;1;1;1;1;3;-20
AMTZ;4;1;1;1;1;3;-20
RENTS;5;1;1;1;1;3;100
CHARGES;5;1;1;1;1;3;-20
WORKS;5;1;1;1;1;3;-20
AMTZ;5;1;1;1;1;3;-20
RENTS;6;1;1;1;1;3;100
CHARGES;6;1;1;1;1;3;-20
WORKS;6;1;1;1;1;3;-20
AMTZ;6;1;1;1;1;3;-20
RENTS;7;1;1;1;1;3;100
CHARGES;7;1;1;1;1;3;-20
WORKS;7;1;1;1;1;3;-20
AMTZ;7;1;1;1;1;3;-20
DIVID_REQ;7;1;1;1;1;3;1000
RENTS;8;1;1;1;1;3;100
CHARGES;8;1;1;1;1;3;-20
WORKS;8;1;1;1;1;3;-20
AMTZ;8;1;1;1;1;3;-20
DIVID_REQ;8;1;1;1;1;3;1000
RENTS;9;1;1;1;1;3;100
CHARGES;9;1;1;1;1;3;-20
WORKS;9;1;1;1;1;3;-20
AMTZ;9;1;1;1;1;3;-20
DIVID_REQ;9;1;1;1;1;3;1000
RENTS;10;1;1;1;1;3;100
CHARGES;10;1;1;1;1;3;-20
WORKS;10;1;1;1;1;3;-20
AMTZ;10;1;1;1;1;3;-20
DIVID_REQ;10;1;1;1;1;3;1000
RENTS;11;1;1;1;1;3;100
CHARGES;11;1;1;1;1;3;-20
WORKS;11;1;1;1;1;3;-20
AMTZ;11;1;1;1;1;3;-20
DIVID_REQ;11;1;1;1;1;3;1000
RENTS;12;1;1;1;1;3;100
CHARGES;12;1;1;1;1;3;-20
WORKS;12;1;1;1;1;3;-20
AMTZ;12;1;1;1;1;3;-20
RENTS;13;1;1;1;1;3;100
CHARGES;13;1;1;1;1;3;-20
WORKS;13;1;1;1;1;3;-20
AMTZ;13;1;1;1;1;3;-20
RENTS;14;1;1;1;1;3;100
CHARGES;14;1;1;1;1;3;-20
WORKS;14;1;1;1;1;3;-20
AMTZ;14;1;1;1;1;3;-20
DIVID_REQ;14;1;1;1;1;3;1000
RENTS;15;1;1;1;1;3;100
CHARGES;15;1;1;1;1;3;-20
WORKS;15;1;1;1;1;3;-20
AMTZ;15;1;1;1;1;3;-20
DIVID_REQ;15;1;1;1;1;3;1000
RENTS;16;1;1;1;1;3;100
CHARGES;16;1;1;1;1;3;-20
WORKS;16;1;1;1;1;3;-20
AMTZ;16;1;1;1;1;3;-20
DIVID_REQ;16;1;1;1;1;3;1000
RENTS;17;1;1;1;1;3;100
CHARGES;17;1;1;1;1;3;-20
WORKS;17;1;1;1;1;3;-20
AMTZ;17;1;1;1;1;3;-20
DIVID_REQ;17;1;1;1;1;3;1000
RENTS;18;1;1;1;1;3;100
CHARGES;18;1;1;1;1;3;-20
WORKS;18;1;1;1;1;3;-20
AMTZ;18;1;1;1;1;3;-20
DIVID_REQ;18;1;1;1;1;3;1000
RENTS;19;1;1;1;1;3;100
CHARGES;19;1;1;1;1;3;-20
WORKS;19;1;1;1;1;3;-20
AMTZ;19;1;1;1;1;3;-20
RENTS;20;1;1;1;1;3;100
CHARGES;20;1;1;1;1;3;-20
WORKS;20;1;1;1;1;3;-20
AMTZ;20;1;1;1;1;3;-20
DIVID_REQ;20;1;1;1;1;3;1000
RENTS;21;1;1;1;1;3;100
CHARGES;21;1;1;1;1;3;-20
WORKS;21;1;1;1;1;3;-20
AMTZ;21;1;1;1;1;3;-20
DIVID_REQ;21;1;1;1;1;3;1000
RENTS;22;1;1;1;1;3;100
CHARGES;22;1;1;1;1;3;-20
WORKS;22;1;1;1;1;3;-20
AMTZ;22;1;1;1;1;3;-20
RENTS;23;1;1;1;1;3;100
CHARGES;23;1;1;1;1;3;-20
WORKS;23;1;1;1;1;3;-20
AMTZ;23;1;1;1;1;3;-20
DIVID_REQ;23;1;1;1;1;3;1000
RENTS;1;1;1;1;1;4;100
CHARGES;1;1;1;1;1;4;-20
WORKS;1;1;1;1;1;4;-20
AMTZ;1;1;1;1;1;4;-20
RENTS;2;1;1;1;1;4;100
CHARGES;2;1;1;1;1;4;-20
WORKS;2;1;1;1;1;4;-20
AMTZ;2;1;1;1;1;4;-20
RENTS;3;1;1;1;1;4;100
CHARGES;3;1;1;1;1;4;-20
WORKS;3;1;1;1;1;4;-20
AMTZ;3;1;1;1;1;4;-20
RENTS;4;1;1;1;1;4;100
CHARGES;4;1;1;1;1;4;-20
WORKS;4;1;1;1;1;4;-20
AMTZ;4;1;1;1;1;4;-20
RENTS;5;1;1;1;1;4;100
CHARGES;5;1;1;1;1;4;-20
WORKS;5;1;1;1;1;4;-20
AMTZ;5;1;1;1;1;4;-20
RENTS;6;1;1;1;1;4;100
CHARGES;6;1;1;1;1;4;-20
WORKS;6;1;1;1;1;4;-20
AMTZ;6;1;1;1;1;4;-20
RENTS;7;1;1;1;1;4;100
CHARGES;7;1;1;1;1;4;-20
WORKS;7;1;1;1;1;4;-20
AMTZ;7;1;1;1;1;4;-20
DIVID_REQ;7;1;1;1;1;4;1000
RENTS;8;1;1;1;1;4;100
CHARGES;8;1;1;1;1;4;-20
WORKS;8;1;1;1;1;4;-20
AMTZ;8;1;1;1;1;4;-20
DIVID_REQ;8;1;1;1;1;4;1000
RENTS;9;1;1;1;1;4;100
CHARGES;9;1;1;1;1;4;-20
WORKS;9;1;1;1;1;4;-20
AMTZ;9;1;1;1;1;4;-20
DIVID_REQ;9;1;1;1;1;4;1000
RENTS;10;1;1;1;1;4;100
CHARGES;10;1;1;1;1;4;-20
WORKS;10;1;1;1;1;4;-20
AMTZ;10;1;1;1;1;4;-20
DIVID_REQ;10;1;1;1;1;4;1000
RENTS;11;1;1;1;1;4;100
CHARGES;11;1;1;1;1;4;-20
WORKS;11;1;1;1;1;4;-20
AMTZ;11;1;1;1;1;4;-20
DIVID_REQ;11;1;1;1;1;4;1000
RENTS;12;1;1;1;1;4;100
CHARGES;12;1;1;1;1;4;-20
WORKS;12;1;1;1;1;4;-20
AMTZ;12;1;1;1;1;4;-20
RENTS;13;1;1;1;1;4;100
CHARGES;13;1;1;1;1;4;-20
WORKS;13;1;1;1;1;4;-20
AMTZ;13;1;1;1;1;4;-20
RENTS;14;1;1;1;1;4;100
CHARGES;14;1;1;1;1;4;-20
WORKS;14;1;1;1;1;4;-20
AMTZ;14;1;1;1;1;4;-20
DIVID_REQ;14;1;1;1;1;4;1000
RENTS;15;1;1;1;1;4;100
CHARGES;15;1;1;1;1;4;-20
WORKS;15;1;1;1;1;4;-20
AMTZ;15;1;1;1;1;4;-20
DIVID_REQ;15;1;1;1;1;4;1000
RENTS;16;1;1;1;1;4;100
CHARGES;16;1;1;1;1;4;-20
WORKS;16;1;1;1;1;4;-20
AMTZ;16;1;1;1;1;4;-20
DIVID_REQ;16;1;1;1;1;4;1000
RENTS;17;1;1;1;1;4;100
CHARGES;17;1;1;1;1;4;-20
WORKS;17;1;1;1;1;4;-20
AMTZ;17;1;1;1;1;4;-20
DIVID_REQ;17;1;1;1;1;4;1000
RENTS;18;1;1;1;1;4;100
CHARGES;18;1;1;1;1;4;-20
WORKS;18;1;1;1;1;4;-20
AMTZ;18;1;1;1;1;4;-20
DIVID_REQ;18;1;1;1;1;4;1000
RENTS;19;1;1;1;1;4;100
CHARGES;19;1;1;1;1;4;-20
WORKS;19;1;1;1;1;4;-20
AMTZ;19;1;1;1;1;4;-20
RENTS;20;1;1;1;1;4;100
CHARGES;20;1;1;1;1;4;-20
WORKS;20;1;1;1;1;4;-20
AMTZ;20;1;1;1;1;4;-20
DIVID_REQ;20;1;1;1;1;4;1000
RENTS;21;1;1;1;1;4;100
CHARGES;21;1;1;1;1;4;-20
WORKS;21;1;1;1;1;4;-20
AMTZ;21;1;1;1;1;4;-20
DIVID_REQ;21;1;1;1;1;4;1000
RENTS;22;1;1;1;1;4;100
CHARGES;22;1;1;1;1;4;-20
WORKS;22;1;1;1;1;4;-20
AMTZ;22;1;1;1;1;4;-20
RENTS;23;1;1;1;1;4;100
CHARGES;23;1;1;1;1;4;-20
WORKS;23;1;1;1;1;4;-20
AMTZ;23;1;1;1;1;4;-20
DIVID_REQ;23;1;1;1;1;4;1000
RENTS;1;1;1;1;1;5;100
CHARGES;1;1;1;1;1;5;-20
WORKS;1;1;1;1;1;5;-20
AMTZ;1;1;1;1;1;5;-20
RENTS;2;1;1;1;1;5;100
CHARGES;2;1;1;1;1;5;-20
WORKS;2;1;1;1;1;5;-20
AMTZ;2;1;1;1;1;5;-20
RENTS;3;1;1;1;1;5;100
CHARGES;3;1;1;1;1;5;-20
WORKS;3;1;1;1;1;5;-20
AMTZ;3;1;1;1;1;5;-20
RENTS;4;1;1;1;1;5;100
CHARGES;4;1;1;1;1;5;-20
WORKS;4;1;1;1;1;5;-20
AMTZ;4;1;1;1;1;5;-20
RENTS;5;1;1;1;1;5;100
CHARGES;5;1;1;1;1;5;-20
WORKS;5;1;1;1;1;5;-20
AMTZ;5;1;1;1;1;5;-20
RENTS;6;1;1;1;1;5;100
CHARGES;6;1;1;1;1;5;-20
WORKS;6;1;1;1;1;5;-20
AMTZ;6;1;1;1;1;5;-20
RENTS;7;1;1;1;1;5;100
CHARGES;7;1;1;1;1;5;-20
WORKS;7;1;1;1;1;5;-20
AMTZ;7;1;1;1;1;5;-20
DIVID_REQ;7;1;1;1;1;5;1000
RENTS;8;1;1;1;1;5;100
CHARGES;8;1;1;1;1;5;-20
WORKS;8;1;1;1;1;5;-20
AMTZ;8;1;1;1;1;5;-20
DIVID_REQ;8;1;1;1;1;5;1000
RENTS;9;1;1;1;1;5;100
CHARGES;9;1;1;1;1;5;-20
WORKS;9;1;1;1;1;5;-20
AMTZ;9;1;1;1;1;5;-20
DIVID_REQ;9;1;1;1;1;5;1000
RENTS;10;1;1;1;1;5;100
CHARGES;10;1;1;1;1;5;-20
WORKS;10;1;1;1;1;5;-20
AMTZ;10;1;1;1;1;5;-20
DIVID_REQ;10;1;1;1;1;5;1000
RENTS;11;1;1;1;1;5;100
CHARGES;11;1;1;1;1;5;-20
WORKS;11;1;1;1;1;5;-20
AMTZ;11;1;1;1;1;5;-20
DIVID_REQ;11;1;1;1;1;5;1000
RENTS;12;1;1;1;1;5;100
CHARGES;12;1;1;1;1;5;-20
WORKS;12;1;1;1;1;5;-20
AMTZ;12;1;1;1;1;5;-20
RENTS;13;1;1;1;1;5;100
CHARGES;13;1;1;1;1;5;-20
WORKS;13;1;1;1;1;5;-20
AMTZ;13;1;1;1;1;5;-20
RENTS;14;1;1;1;1;5;100
CHARGES;14;1;1;1;1;5;-20
WORKS;14;1;1;1;1;5;-20
AMTZ;14;1;1;1;1;5;-20
DIVID_REQ;14;1;1;1;1;5;1000
RENTS;15;1;1;1;1;5;100
CHARGES;15;1;1;1;1;5;-20
WORKS;15;1;1;1;1;5;-20
AMTZ;15;1;1;1;1;5;-20
DIVID_REQ;15;1;1;1;1;5;1000
RENTS;16;1;1;1;1;5;100
CHARGES;16;1;1;1;1;5;-20
WORKS;16;1;1;1;1;5;-20
AMTZ;16;1;1;1;1;5;-20
DIVID_REQ;16;1;1;1;1;5;1000
RENTS;17;1;1;1;1;5;100
CHARGES;17;1;1;1;1;5;-20
WORKS;17;1;1;1;1;5;-20
AMTZ;17;1;1;1;1;5;-20
DIVID_REQ;17;1;1;1;1;5;1000
RENTS;18;1;1;1;1;5;100
CHARGES;18;1;1;1;1;5;-20
WORKS;18;1;1;1;1;5;-20
AMTZ;18;1;1;1;1;5;-20
DIVID_REQ;18;1;1;1;1;5;1000
RENTS;19;1;1;1;1;5;100
CHARGES;19;1;1;1;1;5;-20
WORKS;19;1;1;1;1;5;-20
AMTZ;19;1;1;1;1;5;-20
RENTS;20;1;1;1;1;5;100
CHARGES;20;1;1;1;1;5;-20
WORKS;20;1;1;1;1;5;-20
AMTZ;20;1;1;1;1;5;-20
DIVID_REQ;20;1;1;1;1;5;1000
RENTS;21;1;1;1;1;5;100
CHARGES;21;1;1;1;1;5;-20
WORKS;21;1;1;1;1;5;-20
AMTZ;21;1;1;1;1;5;-20
DIVID_REQ;21;1;1;1;1;5;1000
RENTS;22;1;1;1;1;5;100
CHARGES;22;1;1;1;1;5;-20
WORKS;22;1;1;1;1;5;-20
AMTZ;22;1;1;1;1;5;-20
RENTS;23;1;1;1;1;5;100
CHARGES;23;1;1;1;1;5;-20
WORKS;23;1;1;1;1;5;-20
AMTZ;23;1;1;1;1;5;-20
DIVID_REQ;23;1;1;1;1;5;1000
RENTS;1;1;1;1;1;6;100
CHARGES;1;1;1;1;1;6;-20
WORKS;1;1;1;1;1;6;-20
AMTZ;1;1;1;1;1;6;-20
RENTS;2;1;1;1;1;6;100
CHARGES;2;1;1;1;1;6;-20
WORKS;2;1;1;1;1;6;-20
AMTZ;2;1;1;1;1;6;-20
RENTS;3;1;1;1;1;6;100
CHARGES;3;1;1;1;1;6;-20
WORKS;3;1;1;1;1;6;-20
AMTZ;3;1;1;1;1;6;-20
RENTS;4;1;1;1;1;6;100
CHARGES;4;1;1;1;1;6;-20
WORKS;4;1;1;1;1;6;-20
AMTZ;4;1;1;1;1;6;-20
RENTS;5;1;1;1;1;6;100
CHARGES;5;1;1;1;1;6;-20
WORKS;5;1;1;1;1;6;-20
AMTZ;5;1;1;1;1;6;-20
RENTS;6;1;1;1;1;6;100
CHARGES;6;1;1;1;1;6;-20
WORKS;6;1;1;1;1;6;-20
AMTZ;6;1;1;1;1;6;-20
RENTS;7;1;1;1;1;6;100
CHARGES;7;1;1;1;1;6;-20
WORKS;7;1;1;1;1;6;-20
AMTZ;7;1;1;1;1;6;-20
DIVID_REQ;7;1;1;1;1;6;1000
RENTS;8;1;1;1;1;6;100
CHARGES;8;1;1;1;1;6;-20
WORKS;8;1;1;1;1;6;-20
AMTZ;8;1;1;1;1;6;-20
DIVID_REQ;8;1;1;1;1;6;1000
RENTS;9;1;1;1;1;6;100
CHARGES;9;1;1;1;1;6;-20
WORKS;9;1;1;1;1;6;-20
AMTZ;9;1;1;1;1;6;-20
DIVID_REQ;9;1;1;1;1;6;1000
RENTS;10;1;1;1;1;6;100
CHARGES;10;1;1;1;1;6;-20
WORKS;10;1;1;1;1;6;-20
AMTZ;10;1;1;1;1;6;-20
DIVID_REQ;10;1;1;1;1;6;1000
RENTS;11;1;1;1;1;6;100
CHARGES;11;1;1;1;1;6;-20
WORKS;11;1;1;1;1;6;-20
AMTZ;11;1;1;1;1;6;-20
DIVID_REQ;11;1;1;1;1;6;1000
RENTS;12;1;1;1;1;6;100
CHARGES;12;1;1;1;1;6;-20
WORKS;12;1;1;1;1;6;-20
AMTZ;12;1;1;1;1;6;-20
RENTS;13;1;1;1;1;6;100
CHARGES;13;1;1;1;1;6;-20
WORKS;13;1;1;1;1;6;-20
AMTZ;13;1;1;1;1;6;-20
RENTS;14;1;1;1;1;6;100
CHARGES;14;1;1;1;1;6;-20
WORKS;14;1;1;1;1;6;-20
AMTZ;14;1;1;1;1;6;-20
DIVID_REQ;14;1;1;1;1;6;1000
RENTS;15;1;1;1;1;6;100
CHARGES;15;1;1;1;1;6;-20
WORKS;15;1;1;1;1;6;-20
AMTZ;15;1;1;1;1;6;-20
